endTime;valence;danceability
13/06/2022 15:25;0.47;0.652
13/06/2022 16:21;0.756;0.746
13/06/2022 16:23;0.433;0.635
13/06/2022 16:24;0.756;0.746
13/06/2022 16:28;0.433;0.635
13/06/2022 17:38;0.524;0.631
13/06/2022 17:40;0.687;0.39
13/06/2022 17:44;0.531;0.425
13/06/2022 17:45;0.531;0.425
13/06/2022 17:47;0.48;0.603
13/06/2022 17:48;0.536;0.45
13/06/2022 17:49;0.536;0.45
13/06/2022 17:52;0.398;0.378
13/06/2022 17:52;0.785;0.591
13/06/2022 17:53;0.367;0.469
13/06/2022 17:56;0.467;0.71
13/06/2022 17:56;0.136;0.586
14/06/2022 8:47;0.149;0.593
14/06/2022 8:50;0.588;0.536
14/06/2022 8:54;0.39;0.324
14/06/2022 8:54;0.549;0.593
14/06/2022 8:57;0.111;0.131
14/06/2022 8:58;0.144;0.165
14/06/2022 11:29;0.657;0.293
14/06/2022 11:30;0.717;0.808
14/06/2022 11:32;0.816;0.401
14/06/2022 11:33;0.337;0.628
14/06/2022 11:33;0.942;0.721
14/06/2022 11:36;0.337;0.628
14/06/2022 11:42;0.755;0.532
14/06/2022 11:42;0.259;0.502
14/06/2022 23:22;0.888;0.636
14/06/2022 23:58;0.888;0.636
15/06/2022 0:02;0.242;0.399
15/06/2022 0:04;0.258;0.72
15/06/2022 0:07;0.403;0.35
15/06/2022 0:12;0.572;0.61
15/06/2022 0:24;0.888;0.636
15/06/2022 0:26;0.572;0.61
15/06/2022 0:27;0.961;0.612
15/06/2022 0:30;0.774;0.693
15/06/2022 0:31;0.376;0.665
15/06/2022 0:31;0.72;0.734
15/06/2022 0:31;0.406;0.716
15/06/2022 0:32;0.706;0.541
15/06/2022 0:34;0.487;0.467
15/06/2022 0:34;0.82;0.608
15/06/2022 0:34;0.563;0.804
15/06/2022 0:35;0.951;0.607
15/06/2022 0:36;0.924;0.546
15/06/2022 0:36;0.896;0.485
15/06/2022 0:37;0.744;0.45
15/06/2022 0:41;0.744;0.45
